entry_time,exit_time,position,entry_price,exit_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2024-12-12 10:35:00,2024-12-12 10:40:00,SELL,24611.05,24614.38,24604.38,24614.38,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.24,700"
2024-12-12 10:55:00,2024-12-12 11:00:00,SELL,24602.1,24605.43,24595.43,24605.43,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.24,400"
2024-12-13 09:20:00,2024-12-13 09:25:00,BUY,24419.65,24416.32,24426.32,24416.32,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.24,100"
2024-12-13 09:25:00,2024-12-13 09:30:00,BUY,24419.25,24415.92,24425.92,24415.92,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.23,800"
2024-12-17 10:15:00,2024-12-17 10:55:00,SELL,24504.85,24466.42,24498.18,24508.18,75,38.43,2832.0,8,TRAILING_STOP_7,73.0,"Rs.26,632"
2024-12-17 11:00:00,2024-12-17 11:05:00,SELL,24482.1,24485.43,24475.43,24485.43,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.26,332"
2024-12-17 12:10:00,2024-12-17 12:20:00,SELL,24379.25,24374.54,24372.58,24382.58,75,4.71,303.38,2,TRAILING_STOP_1,90.0,"Rs.26,635"
2024-12-19 09:20:00,2024-12-19 09:25:00,BUY,23909.55,23906.22,23916.22,23906.22,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.26,335"
2024-12-19 09:25:00,2024-12-19 10:10:00,BUY,23885.7,23936.25,23892.37,23882.37,75,50.55,3741.13,9,TRAILING_STOP_8,90.0,"Rs.30,077"
2024-12-19 10:10:00,2024-12-19 10:15:00,SELL,23929.75,23933.08,23923.08,23933.08,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.29,777"
2024-12-20 13:35:00,2024-12-20 13:50:00,SELL,23729.6,23716.43,23722.93,23732.93,75,13.17,938.0,3,TRAILING_STOP_2,90.0,"Rs.30,715"
2024-12-20 14:00:00,2024-12-20 14:15:00,SELL,23700.15,23697.97,23693.48,23703.48,75,2.18,113.25,3,TRAILING_STOP_1,90.0,"Rs.30,828"
2024-12-20 14:30:00,2024-12-20 14:40:00,SELL,23690.6,23686.46,23683.93,23693.93,75,4.14,260.63,2,TRAILING_STOP_1,90.0,"Rs.31,088"
2024-12-20 14:45:00,2024-12-20 15:25:00,SELL,23673.85,23628.43,23667.18,23677.18,75,45.42,3356.25,8,TRAILING_STOP_7,90.0,"Rs.34,445"
2024-12-23 10:05:00,2024-12-23 10:10:00,BUY,23795.95,23792.62,23802.62,23792.62,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.34,145"
2024-12-23 12:35:00,2024-12-23 12:40:00,SELL,23716.65,23719.98,23709.98,23719.98,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.33,845"
2024-12-24 09:15:00,2024-12-24 09:20:00,BUY,23767.95,23764.62,23774.62,23764.62,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.33,545"
2024-12-24 10:25:00,2024-12-24 10:40:00,BUY,23852.8,23849.94,23859.47,23849.47,75,-2.86,-264.75,3,TRAILING_STOP_1,90.0,"Rs.33,280"
2024-12-27 09:25:00,2024-12-27 09:40:00,SELL,23856.1,23848.69,23849.43,23859.43,75,7.41,506.0,3,TRAILING_STOP_2,90.0,"Rs.33,786"
2024-12-27 10:05:00,2024-12-27 10:10:00,SELL,23917.6,23920.93,23910.93,23920.93,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.33,486"
2024-12-27 10:50:00,2024-12-27 11:00:00,BUY,23902.3,23898.97,23908.97,23898.97,75,-3.33,-300.0,2,STOP_LOSS,90.0,"Rs.33,186"
2024-12-30 09:40:00,2024-12-30 10:55:00,BUY,23725.05,23804.65,23731.72,23721.72,75,79.6,5919.63,15,TRAILING_STOP_12,90.0,"Rs.39,106"
2024-12-30 13:00:00,2024-12-30 13:05:00,SELL,23767.2,23770.53,23760.53,23770.53,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.38,806"
2024-12-30 13:05:00,2024-12-30 13:10:00,SELL,23764.9,23768.23,23758.23,23768.23,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.38,506"
2024-12-31 09:40:00,2024-12-31 09:50:00,SELL,23523.4,23517.98,23516.73,23526.73,75,5.42,356.25,2,TRAILING_STOP_1,90.0,"Rs.38,862"
2024-12-31 10:00:00,2024-12-31 10:15:00,SELL,23521.0,23511.91,23514.33,23524.33,75,9.09,632.0,3,TRAILING_STOP_2,90.0,"Rs.39,494"
2024-12-31 10:25:00,2024-12-31 10:30:00,SELL,23507.55,23510.88,23500.88,23510.88,75,-3.33,-300.0,1,STOP_LOSS,87.0,"Rs.39,194"
2024-12-31 14:05:00,2024-12-31 14:10:00,BUY,23687.1,23683.77,23693.77,23683.77,75,-3.33,-300.0,1,STOP_LOSS,80.5,"Rs.38,894"
2025-01-01 11:00:00,2025-01-01 11:25:00,BUY,23741.55,23751.29,23748.22,23738.22,75,9.74,680.38,5,TRAILING_STOP_2,89.3,"Rs.39,574"
2025-01-02 10:20:00,2025-01-02 10:25:00,BUY,23877.85,23874.52,23884.52,23874.52,75,-3.33,-300.0,1,STOP_LOSS,76.5,"Rs.39,274"
2025-01-02 10:35:00,2025-01-02 11:45:00,BUY,23870.95,23951.28,23877.62,23867.62,75,80.33,5974.88,14,TRAILING_STOP_13,90.0,"Rs.45,249"
2025-01-02 11:55:00,2025-01-02 12:10:00,BUY,23937.4,23947.65,23944.07,23934.07,75,10.25,718.63,3,TRAILING_STOP_2,90.0,"Rs.45,968"
2025-01-02 12:30:00,2025-01-02 12:35:00,SELL,24046.75,24050.08,24040.08,24050.08,75,-3.33,-300.0,1,STOP_LOSS,80.8,"Rs.45,668"
2025-01-03 09:45:00,2025-01-03 09:50:00,SELL,24076.25,24079.58,24069.58,24079.58,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.45,368"
2025-01-03 09:50:00,2025-01-03 10:00:00,SELL,24072.75,24076.78,24066.08,24076.08,75,-4.03,-352.5,2,TRAILING_STOP_1,90.0,"Rs.45,015"
2025-01-06 10:50:00,2025-01-06 10:55:00,SELL,23834.85,23838.18,23828.18,23838.18,75,-3.33,-300.0,1,STOP_LOSS,82.3,"Rs.44,715"
2025-01-06 10:55:00,2025-01-06 12:30:00,SELL,23831.5,23711.83,23824.83,23834.83,75,119.67,8925.25,19,TRAILING_STOP_18,82.1,"Rs.53,640"
2025-01-06 14:10:00,2025-01-06 14:15:00,SELL,23623.85,23627.18,23617.18,23627.18,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.53,090"
2025-01-07 09:35:00,2025-01-07 09:45:00,BUY,23780.0,23776.67,23786.67,23776.67,150,-3.33,-550.0,2,STOP_LOSS,90.0,"Rs.52,540"
2025-01-07 09:50:00,2025-01-07 09:55:00,BUY,23687.05,23683.72,23693.72,23683.72,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.51,990"
2025-01-08 12:30:00,2025-01-08 12:35:00,SELL,23510.15,23513.48,23503.48,23513.48,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.51,440"
2025-01-08 12:45:00,2025-01-08 12:50:00,SELL,23519.7,23523.03,23513.03,23523.03,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.50,890"
2025-01-09 11:30:00,2025-01-09 11:35:00,SELL,23553.1,23556.43,23546.43,23556.43,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.50,340"
2025-01-10 11:25:00,2025-01-10 11:40:00,BUY,23554.95,23545.94,23561.62,23551.62,150,-9.01,-1402.0,3,TRAILING_STOP_1,90.0,"Rs.48,938"
2025-01-10 11:45:00,2025-01-10 11:50:00,BUY,23529.05,23525.72,23535.72,23525.72,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,638"
2025-01-13 09:35:00,2025-01-13 09:40:00,SELL,23219.75,23223.08,23213.08,23223.08,75,-3.33,-300.0,1,STOP_LOSS,76.2,"Rs.48,338"
2025-01-13 10:05:00,2025-01-13 10:10:00,SELL,23249.85,23253.18,23243.18,23253.18,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,038"
2025-01-14 09:45:00,2025-01-14 09:50:00,BUY,23198.35,23195.02,23205.02,23195.02,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,738"
2025-01-15 11:05:00,2025-01-15 11:25:00,BUY,23250.95,23254.52,23257.62,23247.62,75,3.57,217.88,4,TRAILING_STOP_1,90.0,"Rs.47,956"
2025-01-16 09:55:00,2025-01-16 10:00:00,BUY,23310.85,23307.52,23317.52,23307.52,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,656"
2025-01-20 10:30:00,2025-01-20 10:40:00,BUY,23259.45,23256.12,23266.12,23256.12,75,-3.33,-300.0,2,STOP_LOSS,90.0,"Rs.47,356"
2025-01-20 10:50:00,2025-01-20 10:55:00,BUY,23265.4,23262.07,23272.07,23262.07,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,056"
2025-01-21 10:40:00,2025-01-21 10:45:00,SELL,23186.6,23189.93,23179.93,23189.93,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.46,756"
2025-01-21 10:50:00,2025-01-21 11:15:00,SELL,23196.85,23170.71,23190.18,23200.18,75,26.14,1910.25,5,TRAILING_STOP_4,90.0,"Rs.48,667"
2025-01-21 11:20:00,2025-01-21 11:30:00,SELL,23160.25,23156.72,23153.58,23163.58,75,3.53,214.5,2,TRAILING_STOP_1,90.0,"Rs.48,881"
2025-01-21 15:00:00,2025-01-21 15:05:00,SELL,23017.9,23021.23,23011.23,23021.23,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,581"
2025-01-22 14:55:00,2025-01-22 15:00:00,BUY,23159.4,23156.07,23166.07,23156.07,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.48,281"
2025-01-22 15:10:00,2025-01-22 15:15:00,BUY,23164.25,23160.92,23170.92,23160.92,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,981"
2025-01-23 09:20:00,2025-01-23 09:25:00,BUY,23119.05,23115.72,23125.72,23115.72,75,-3.33,-300.0,1,STOP_LOSS,80.3,"Rs.47,681"
2025-01-23 10:20:00,2025-01-23 10:25:00,BUY,23235.9,23232.57,23242.57,23232.57,75,-3.33,-300.0,1,STOP_LOSS,88.4,"Rs.47,381"
2025-01-24 11:45:00,2025-01-24 11:50:00,BUY,23333.85,23330.52,23340.52,23330.52,75,-3.33,-300.0,1,STOP_LOSS,81.6,"Rs.47,081"
2025-01-24 11:50:00,2025-01-24 11:55:00,BUY,23335.2,23331.87,23341.87,23331.87,75,-3.33,-300.0,1,STOP_LOSS,80.8,"Rs.46,781"
2025-01-27 09:40:00,2025-01-27 09:45:00,SELL,22994.0,22997.33,22987.33,22997.33,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.46,481"
2025-01-27 09:45:00,2025-01-27 10:00:00,SELL,22992.1,22978.85,22985.43,22995.43,75,13.25,943.63,3,TRAILING_STOP_2,90.0,"Rs.47,425"
2025-01-27 10:05:00,2025-01-27 10:10:00,SELL,22973.7,22977.03,22967.03,22977.03,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,125"
2025-01-28 11:25:00,2025-01-28 11:30:00,BUY,22971.2,22967.87,22977.87,22967.87,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.46,825"
2025-01-28 11:35:00,2025-01-28 11:55:00,BUY,22995.5,23004.73,23002.17,22992.17,75,9.23,642.12,4,TRAILING_STOP_2,90.0,"Rs.47,467"
2025-01-28 12:00:00,2025-01-28 12:05:00,BUY,23031.9,23028.57,23038.57,23028.57,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.47,167"
2025-01-30 10:40:00,2025-01-30 10:45:00,BUY,23295.65,23292.32,23302.32,23292.32,75,-3.33,-300.0,1,STOP_LOSS,75.5,"Rs.46,867"
2025-01-30 14:25:00,2025-01-30 14:35:00,SELL,23164.85,23158.89,23158.18,23168.18,75,5.96,396.75,2,TRAILING_STOP_1,86.1,"Rs.47,264"
2025-01-30 14:50:00,2025-01-30 14:55:00,SELL,23162.5,23165.83,23155.83,23165.83,75,-3.33,-300.0,1,STOP_LOSS,90.0,"Rs.46,964"
2025-01-31 09:15:00,2025-01-31 10:05:00,BUY,23301.25,23349.65,23307.92,23297.92,75,48.4,3580.25,10,TRAILING_STOP_8,85.0,"Rs.50,544"
2025-01-31 10:10:00,2025-01-31 11:20:00,BUY,23340.2,23426.86,23346.87,23336.87,150,86.66,12949.25,14,TRAILING_STOP_13,90.0,"Rs.63,493"
2025-01-31 12:45:00,2025-01-31 12:50:00,BUY,23468.7,23465.37,23475.37,23465.37,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.62,943"
2025-01-31 12:55:00,2025-01-31 13:00:00,BUY,23480.85,23477.52,23487.52,23477.52,150,-3.33,-550.0,1,STOP_LOSS,88.9,"Rs.62,393"
2025-02-01 09:25:00,2025-02-01 10:30:00,BUY,23506.7,23565.79,23513.37,23503.37,150,59.09,8812.75,13,TRAILING_STOP_9,90.0,"Rs.71,206"
2025-02-01 10:50:00,2025-02-01 10:55:00,BUY,23586.65,23583.32,23593.32,23583.32,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.70,656"
2025-02-01 10:55:00,2025-02-01 11:00:00,BUY,23590.5,23587.17,23597.17,23587.17,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.70,106"
2025-02-03 10:00:00,2025-02-03 10:05:00,SELL,23243.8,23247.13,23237.13,23247.13,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.69,556"
2025-02-03 10:15:00,2025-02-03 10:20:00,SELL,23245.5,23248.83,23238.83,23248.83,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.69,006"
2025-02-04 09:20:00,2025-02-04 09:35:00,SELL,23522.3,23526.14,23515.63,23525.63,150,-3.84,-625.75,3,TRAILING_STOP_1,90.0,"Rs.68,380"
2025-02-04 09:45:00,2025-02-04 11:00:00,SELL,23569.45,23484.39,23562.78,23572.78,150,85.06,12708.5,15,TRAILING_STOP_13,90.0,"Rs.81,089"
2025-02-04 12:10:00,2025-02-04 13:00:00,BUY,23565.4,23604.28,23572.07,23562.07,150,38.88,5781.25,10,TRAILING_STOP_6,90.0,"Rs.86,870"
2025-02-04 13:05:00,2025-02-04 14:00:00,BUY,23626.5,23678.02,23633.17,23623.17,150,51.52,7678.5,11,TRAILING_STOP_8,90.0,"Rs.94,548"
2025-02-04 14:05:00,2025-02-04 14:10:00,BUY,23690.05,23686.72,23696.72,23686.72,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.93,998"
2025-02-05 09:15:00,2025-02-05 09:20:00,BUY,23769.25,23765.92,23775.92,23765.92,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.93,448"
2025-02-05 09:35:00,2025-02-05 09:45:00,BUY,23788.7,23789.12,23795.37,23785.37,150,0.42,13.25,2,TRAILING_STOP_1,90.0,"Rs.93,462"
2025-02-06 11:15:00,2025-02-06 11:20:00,SELL,23600.05,23603.38,23593.38,23603.38,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.92,912"
2025-02-07 11:40:00,2025-02-07 11:45:00,BUY,23683.6,23680.27,23690.27,23680.27,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.92,362"
2025-02-07 14:15:00,2025-02-07 14:20:00,SELL,23449.25,23452.58,23442.58,23452.58,150,-3.33,-550.0,1,STOP_LOSS,81.8,"Rs.91,812"
2025-02-10 10:10:00,2025-02-10 10:20:00,SELL,23373.1,23376.43,23366.43,23376.43,150,-3.33,-550.0,2,STOP_LOSS,90.0,"Rs.91,262"
2025-02-10 10:30:00,2025-02-10 10:35:00,SELL,23371.65,23374.98,23364.98,23374.98,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.90,712"
2025-02-11 10:30:00,2025-02-11 10:35:00,SELL,23272.95,23276.28,23266.28,23276.28,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.90,162"
2025-02-11 10:40:00,2025-02-11 10:45:00,SELL,23259.3,23262.63,23252.63,23262.63,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.89,612"
2025-02-12 09:55:00,2025-02-12 10:05:00,SELL,22840.75,22837.19,22834.08,22844.08,150,3.56,483.5,2,TRAILING_STOP_1,76.3,"Rs.90,095"
2025-02-12 10:40:00,2025-02-12 10:45:00,SELL,22866.65,22869.98,22859.98,22869.98,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.89,545"
2025-02-12 11:20:00,2025-02-12 11:25:00,BUY,22938.55,22935.22,22945.22,22935.22,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.88,995"
2025-02-13 09:50:00,2025-02-13 09:55:00,BUY,23173.3,23169.97,23179.97,23169.97,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.88,445"
2025-02-13 10:00:00,2025-02-13 10:05:00,BUY,23186.65,23183.32,23193.32,23183.32,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.87,895"
2025-02-14 11:00:00,2025-02-14 11:10:00,SELL,22874.1,22875.39,22867.43,22877.43,150,-1.29,-243.25,2,TRAILING_STOP_1,90.0,"Rs.87,652"
2025-02-14 11:15:00,2025-02-14 11:20:00,SELL,22863.25,22866.58,22856.58,22866.58,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.87,102"
2025-02-17 09:50:00,2025-02-17 09:55:00,SELL,22750.15,22753.48,22743.48,22753.48,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.86,552"
2025-02-17 10:00:00,2025-02-17 10:05:00,SELL,22749.85,22753.18,22743.18,22753.18,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.86,002"
2025-02-18 14:35:00,2025-02-18 14:50:00,BUY,22938.65,22951.97,22945.32,22935.32,150,13.32,1948.5,3,TRAILING_STOP_2,90.0,"Rs.87,950"
2025-02-18 15:00:00,2025-02-18 15:15:00,BUY,22951.3,22947.97,22957.97,22947.97,150,-3.33,-550.0,3,STOP_LOSS,90.0,"Rs.87,400"
2025-02-21 09:45:00,2025-02-21 09:50:00,BUY,22827.35,22824.02,22834.02,22824.02,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.86,850"
2025-02-21 09:55:00,2025-02-21 10:00:00,BUY,22813.65,22810.32,22820.32,22810.32,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.86,300"
2025-02-24 10:35:00,2025-02-24 10:40:00,SELL,22558.55,22561.88,22551.88,22561.88,150,-3.33,-550.0,1,STOP_LOSS,83.6,"Rs.85,750"
2025-02-24 10:50:00,2025-02-24 11:05:00,SELL,22571.05,22567.63,22564.38,22574.38,150,3.42,463.25,3,TRAILING_STOP_1,90.0,"Rs.86,214"
2025-02-24 14:05:00,2025-02-24 14:10:00,SELL,22533.55,22536.88,22526.88,22536.88,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.85,664"
2025-02-28 09:20:00,2025-02-28 09:30:00,BUY,22319.75,22312.39,22326.42,22316.42,150,-7.36,-1154.5,2,TRAILING_STOP_1,90.0,"Rs.84,509"
2025-02-28 09:50:00,2025-02-28 09:55:00,BUY,22272.6,22269.27,22279.27,22269.27,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.83,959"
2025-03-03 13:00:00,2025-03-03 13:25:00,BUY,22119.15,22132.55,22125.82,22115.82,150,13.4,1960.0,5,TRAILING_STOP_3,90.0,"Rs.85,919"
2025-03-05 09:25:00,2025-03-05 09:30:00,SELL,22193.3,22196.63,22186.63,22196.63,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.85,369"
2025-03-05 09:30:00,2025-03-05 09:35:00,SELL,22208.95,22212.28,22202.28,22212.28,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.84,819"
2025-03-06 12:50:00,2025-03-06 12:55:00,BUY,22468.8,22465.47,22475.47,22465.47,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.84,269"
2025-03-06 13:00:00,2025-03-06 13:10:00,BUY,22463.8,22469.17,22470.47,22460.47,150,5.37,755.75,2,TRAILING_STOP_1,90.0,"Rs.85,025"
2025-03-06 13:15:00,2025-03-06 13:20:00,BUY,22471.2,22467.87,22477.87,22467.87,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.84,475"
2025-03-07 09:15:00,2025-03-07 09:20:00,BUY,22560.55,22557.22,22567.22,22557.22,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.83,925"
2025-03-10 14:00:00,2025-03-10 14:05:00,SELL,22542.45,22545.78,22535.78,22545.78,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.83,375"
2025-03-10 14:30:00,2025-03-10 14:35:00,BUY,22466.8,22463.47,22473.47,22463.47,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.82,825"
2025-03-11 09:20:00,2025-03-11 09:30:00,BUY,22354.25,22360.67,22360.92,22350.92,150,6.42,913.25,2,TRAILING_STOP_1,90.0,"Rs.83,738"
2025-03-11 09:40:00,2025-03-11 09:45:00,SELL,22362.65,22365.98,22355.98,22365.98,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.83,188"
2025-03-11 09:50:00,2025-03-11 09:55:00,SELL,22382.7,22386.03,22376.03,22386.03,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.82,638"
2025-03-12 11:30:00,2025-03-12 12:05:00,SELL,22379.8,22350.81,22373.13,22383.13,150,28.99,4298.25,7,TRAILING_STOP_5,90.0,"Rs.86,936"
2025-03-12 12:15:00,2025-03-12 12:20:00,SELL,22355.85,22359.18,22349.18,22359.18,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.86,386"
2025-03-12 15:05:00,2025-03-12 15:10:00,BUY,22490.75,22487.42,22497.42,22487.42,150,-3.33,-550.0,1,STOP_LOSS,90.0,"Rs.85,836"
2025-03-13 09:45:00,2025-03-13 10:20:00,BUY,22498.95,22537.06,22505.62,22495.62,150,38.11,5666.5,7,TRAILING_STOP_6,90.0,"Rs.91,503"
2025-03-13 10:25:00,2025-03-13 10:35:00,BUY,22538.5,22535.17,22545.17,22535.17,150,-3.33,-550.0,2,STOP_LOSS,90.0,"Rs.90,953"
2025-03-13 10:40:00,2025-03-13 10:45:00,BUY,22523.8,22520.47,22530.47,22520.47,150,-3.33,-550.0,1,STOP_LOSS,85.4,"Rs.90,403"
2025-03-17 09:30:00,2025-03-17 09:55:00,SELL,22566.1,22546.1,22559.43,22569.43,150,20.0,2950.0,5,TRAILING_STOP_3,90.0,"Rs.93,353"
