#{"t_start": 1743308874.916864, "env_id": "None"}
r,l,t
--3.420172,497,12.253436--1.978142,253,14.814507--2.041595,307,18.052208
-0.857876,91,19.523575
-3.623828,479,25.005944
-5.662492,800,43.614774
-2.265314,365,48.068446
-1.734452,250,51.347369
-3.714555,621,58.030106
-3.333499,475,74.59063
-2.315618,329,77.588058
-1.291372,194,79.616764
-2.749777,413,84.465494
-0.849806,130,85.773357
-0.722555,112,88.16016
-1.405942,196,89.496489
-1.863937,323,93.542371
-0.421269,47,94.889956
-1.992648,327,108.471914
-0.865867,123,109.382899
-1.009083,218,111.983929
-3.632283,691,120.365245
-1.624201,266,124.167053
-0.343322,33,124.697713
-3.676572,627,132.730089
-0.979552,131,143.395626
-2.41691,413,149.657947
-1.708526,353,152.63198
-5.284298,907,159.73896
-0.511227,57,160.087223
-0.581045,36,160.401669
-0.737656,102,161.859573
-2.805314,535,177.580234
-2.332797,424,181.371872
-2.384565,451,187.794794
-2.314964,447,191.62092
-1.463743,234,196.184901
-0.248641,37,206.722872
-0.316518,72,207.09129
-0.381781,9-5.305711,1093-1.573724,271-1.43341,342,-0.935949,17-1.771115,338,215.907455
-1.689097,325-2.998573,552-2.730782,514,224.962303
-1.519568,313-3.249856,642-2.798456,618,244.709077
-0.404319,56,245.068368
-2.479683,420,252.326027
-1.284702,287,254.340539
-2.632677,466,258.873276
-4.462346,889,276.785495
-5.180215,1140,287.68349
-1.749307,416,302.89525
-1.00212,229,306.939328
-1.507024,306,309.132477
-2.201093,494,313.794914
-2.159609,346,316.460299
-4.612561,970,333.707813
-2.375133,504,337.620572
-2.069462,422,343.769294
-1.747964,379,345.849192
-3.691988,818,366.227748
-0.90628,194,368.860137
-2.929439,592,373.092031
-1.697212,287,375.768126
-1.372347,292,378.595745
-1.256751,279,392.927306
-2.987786,605,396.446776
-2.712288,537,402.263299
-2.179384,476,407.297451
-1.357963,201,410.225913
-0.786544,170,424.08071
-1.94196,369,427.745881
-2.407386,450,433.430187
-1.100789,215,436.01761
-1.402142,304,439.903852
-2.891414,633,457.511831
-1.417128,335,461.870068
-0.518506,73,462.772255
-1.16559,200,466.250262
-1.23965,276,468.816637
-1.203207,279,472.443818
-0.455782,97,473.196424
-0.984243,193,475.405602
-1.298203,283,478.250891
-4.393048,947,500.813251
-2.856387,555,506.469388
-2.598022,484,509.96891
-2.709624,504,526.367147
-1.166249,195,529.394938
-0.59499,101,530.266117
-0.807093,186,533.015927
-1.780578,364,536.702749
-2.278226,535,540.581434
-1.605019,294,544.770822
-1.083167,244,558.63162
-1.705154,294,56-2.833122,604,564.286722
-1.228759,-1.784669,416,56-1.026847,-1.050467,194,57-1.233089,226,573.500503
-0.672462,-3.158131,755,579.621537
-1.802868,365,594.295224
-0.6764,150,59-2.049804,-1.878126,427,601.480904
-1.92418,465,606.424852
-1.762261,419,610.527149
-1.983143,466,625.994458
-0.597766,83,627-1.586606-2.197974,527,632.936969
-1.817019,436,637.829784
-1.793655,376,641.838687
-1.166229,304,644.687863
-1.532789,354,660.328395
-0.71922,119-1.358425,349-1.242711,309-1.705306,327-2.330376,524,674.285882
-2.760976,786,683.593841
-4.013847,816,704.786456
-2.497785,545,710.777687
-2.231675,456,717.555899
-1.240379,276,720.643856
-1.617389,342,738.362023
-0.589259,97,739.678378
-1.111284,234,743.418865
-1.888215,522,749.997833
-1.721196,330,752.730115
-2.230346,451,758.346359
-1.686774,336,774.864747
-2.737016,602,781.395775
-1.999603,400,784.785428
-1.549511,267,788.582683
-1.471595,287,791.048882
-2.352787,532,809.79651
-2.827969,536,815.078794
-2.780643,509,820.641154
9.781713
-3.431726,695,786.637159
-2.524078,607,793.512767
-1.011621,226,808.780921
-1.377762,339,813.068743
-3.794591,959,821.700465
-0.206177,89,822.756976
-0.889016,193,824.329597
71804
-1.059115,193,783.570696
-1.546926,320,786.639445
-1.755983,458,791.773964
-0.52913,56,792.813695
-0.578465,98,806.808471
-4.740139,1099,817.843459
-0.689916,141,819.793749
-0.495502,89,778.560904
-4.22957,1105,790.028749
-0.752021,142,790.857162
-1.379054,283,794.429885
-1.631064,287,811.399349
-3.162636,691,817.402628
-1.294697,255,820.15801
